Adj Close (^GSPC),DGS10 [%],T10YIE[%],Confirmed COVID-19 cases,Recovered COVID-19 cases,Deaths due to COVID-19 ,Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly U.S. No 2 Diesel Retail Prices  (Dollars per Gallon)
2510.030029,2.66,1.7,0,0,0,2.329,3.013
2447.889893,2.56,1.68,0,0,0,2.329,3.013
2531.939941,2.67,1.76,0,0,0,2.329,3.013
2531.939941,2.67,1.76,0,0,0,2.329,3.013
2531.939941,2.67,1.76,0,0,0,2.329,3.013
2549.689941,2.7,1.78,0,0,0,2.329,3.013
2574.409912,2.73,1.82,0,0,0,2.338,2.976
2584.959961,2.74,1.83,0,0,0,2.338,2.976
2596.639893,2.74,1.81,0,0,0,2.338,2.976
